Date,Headline
2019-01-08,"ECB Policy Maker: Crypto Bubble Has Collapsed, Bitcoin Will Die as a Complete Load of Nonsense "
2019-01-08,"Want $1,000 in Bitcoin? All You Have to Do Is Solve the Riddle in This French Street Artist’s Mural "
2019-01-08,"Bitcoin 'Tremendously Successful as a Store of Value,' Says David Chaum [Interview] | Bitcoinist.com "
2019-01-09,65 Million+ League of Legends Players Can Now Earn Cryptocurrency For Playing Via Refereum 
2019-01-09,Indian Police Arrest the Fourth Accused Person in the Cryptocurrency Project Worth over $70K | BTCMANAGER 
2019-01-09,Nano (NANO) and BitGrail Crypto Exchange Dragged to Court by Silver Miller and Levi Korsinsky | BTCMANAGER 
2019-01-10,Winklevoss twins’ Gemini cryptocurrency ad campaign hopes to ignite the ‘people’s movement’ 
2019-01-10,Bitcoin (BTC) Safe Haven for Countries with Economical Troubles: Nick Szabo - Ethereum World News 
2019-01-10,Bitcoin plunges sharply and suddenly | Currency News | Financial and Business News | Markets Insider 
2019-01-11,Interview: An Innovative 24/7 Trading Bot And Transitioning From Entertainment To Crypto 
2019-01-11,South Korea Government Approves Seven out of 21 Cryptocurrency Exchanges’ Security Policy 
2019-01-11,Nxt-ID Subsidiary FitPay® to Begin Shipments of Flip - a Contactless Payment Device for Bitcoin 
2019-01-12,"Fake Movie File Infects PC to Steal Cryptocurrency, Poison Google Results "
2019-01-12,Mongolia's Cheap Electricity Draws Japanese Bitcoin Miners Seeking Profit 
2019-01-12,"Long-Dormant Bitcoin Whales Resuming Activity Could Rock Price Action, Analysts Say "
2019-01-13,The Real Reason Government-Industry Player Collaboration in Crypto is Necessary - Irish Tech News 
2019-01-13,Bitcoin millionaire Erik Finman says it's your fault if you don't become a millionaire in the next 10 years 
2019-01-13,"Bitcoin Whales Burst to Life, Plus Ripple and XRP, Tron, Ethereum, Cardano, Kyber, VeChain: Crypto News Flash "
2019-01-14,Does the January Effect Exist in Cryptocurrencies? A Look Back at Bitcoin’s Past January Performances 
2019-01-14,Giga Watt: Bitcoin Mining Company Finally Shutting Down Amid Unpaid Power Bills and Bankruptcy Hearings: To... 
2019-01-14,"New Blockchain Products, an FBI Raid, the $11 Billion Bitcoin Case, Hackers Strike With a 51 Percent Attack and Crypto Tax Analysis "
2019-01-15,Could the upcoming Ethereum fork bring a positive future for crypto in general? - Irish Tech News 
2019-01-15,Americans lost $1.7 billion trading bitcoin in 2018 — and more than half don’t know they can claim a deduction 
2019-01-15,"TaxToken Launches, Offering Precise, Intuitive Blockchain-as-a-Service Solution for Individuals to Easily File Cryptocurrency Taxes "
2019-01-16,"Security Report Gives A or A- Rating to 16% of Major Crypto Exchanges, None Get A+ "
2019-01-16,"CoinGecko Yearly Report 2018: Stablecoins, Dapps, and NFTs on the Rise, Bitcoin Increases Market Dominance "
2019-01-16,Cryptocurrency trader Cryptopia headquarters under police lockdown after millions suspected lost in breach 
2019-01-17,Cryptopia Alleged Hack: Police Are on the Case While Community Tracks Down Stolen Funds 
2019-01-17,Aegis Custody to Launch Digital Asset Custody Service at The North American Bitcoin Conference 
2019-01-17,BitPay Touts Two Straight Years of $1 Billion-Plus in Volume Despite Bitcoin's Dramatic Collapse 
2019-01-18,Purchase Bitcoin (BTC) in Supermarkets: Not just an Idea Anymore - Ethereum World News 
2019-01-18,Cryptocurrencies have just been declared hobbyist 'financial instruments' in South Africa 
2019-01-18,Founder of Ethereum and ConsenSys Joe Lubin Joins Board of Directors of Crypto Startup ErisX 
2019-01-19,Total Value of Bitcoin Sent to Darknet Markets Increased by 70% in 2018: Report 
2019-01-19,Markets Update: Cryptocurrencies Follow Bullish Piercing Pattern as Buyers Advance 
2019-01-19,Bitcoin Investment Hopes Rise As Cryptocurrency Market Shifts To Institutional Investors 
2019-01-20,MIT and Stanford Professors Are Creating a Cryptocurrency Called Unit-e 
2019-01-20,Forget Bitcoin: Why Criminals are Using Fortnite to Launder Illicit Funds 
2019-01-20,"BCH ""is Dead"" and BSV is a ""Worthless Shitcoin,"" Bitcoin.org Founder Says - Ethereum "
2019-01-21,"Bitcoin Price Could Crack $10 Million, Become New Gold Standard: Asset Management Firm "
2019-01-21,"Britain’s first ‘Bitcoin Baby’ earns £3,000 in just TWO WEEKS thanks to crypto-donations... "
2019-01-21,South Africa Establishes a Consultation Paper to Regulate and De-Anonymize Bitcoin Transactions 
2019-01-22,Star blockchain developer’s talks with startup Casper Labs ripple through world of cryptocurrency 
2019-01-22,Crypto Garage and Blockstream Receive First Ever Regulatory Approval to Test Japanese Yen Stablecoin 
2019-01-22,$3.2 Trillion in Bitcoin Payments Processed in 2018: Is the Cryptocurrency a Better Version of Gold? 
2019-01-23,"A faster, more efficient cryptocurrency | MIT News | Massachusetts Institute of Technology "
2019-01-23,"CoinZest Airdrop Event Goes Wrong, Customers Receive $5.3 Million Worth of Crypto | BTCMANAGER "
2019-01-23,"At Korea's Blockchain Convergence Summit, Jimmy Nguyen offers a taste of what's to come with Bitcoin SV "
2019-01-24,"Crypto-Friendly States Could Model Themselves After Pennsylvania, Blockchain Expert Says "
2019-01-24,Dark Web Hacker Proves Leak of Customer Data From World’s Leading Cryptocurrency Exchanges 
2019-01-24,"New Zealand Exchange Cryptopia Lost $16 Million in Hack, Not Initially Reported $2.5 Million: Research "
2019-01-25,"In Exactly 1 Week, Bitcoin Will Have Suffered its Longest Bear Market in History "
2019-01-25,Malta’s Financial Watchdog Warns Global Investors Against ‘Bitcoin Revolution’ Scam 
2019-01-25,"This Trojan infects Chrome browser extensions, spoofs searches to steal cryptocurrency "
2019-01-26,Leaked Crypto Exchange User KYC Data Doesn’t Affect Our Accounts: Binance 
2019-01-26,"Chinese Blockchain Rankings Released: EOS Still First, Ethereum Second, Bitcoin 15th "
2019-01-26,"Albania and Cryptocurrency, Not a Sensible Combination - Exit - Explaining Albania - Exit "
2019-01-27,"BIS Report Questions Longevity, Efficacy of Proof-of-Work Based Cryptocurrencies "
2019-01-27,This Crypto Ransomware is Targeting Bitcoin (BTC) Mining Rigs in China - Ethereum World News 
2019-01-27,TRON Spikes 134% in 1 Month: Will the Crypto Sector’s Strong Performance Push Bitcoin Higher? 
2019-01-28,"Most Utility Coins May Have Limited Utility, But Their Place In Crypto History Is Secure "
2019-01-28,Are Crypto Taxes Giving You A Headache? Keep These Tips In Mind To Make Next Year Go Smoother 
2019-01-28,"Portal Allows You to Buy Altcoins Using Fiat, Without Converting to Bitcoin or Ethereum First "
2019-01-29,PrimeXBT launches: Is the new 100x leverage Bitcoin trading platform worth such hype? - Ethereum World News 
2019-01-29,Tether Is Now The 5th Largest Crypto: The Stable Coin’s Rising Popularity Might Be Dangerous For The Market 
2019-01-29,Gemini Continues to Build Trust and Confidence in Crypto Exchange Through Completion of SOC 2 Type 1 Examination 
2019-01-30,"Bloomberg: Amid Bear Market, Crypto Venture Fund Strategy Wins out Over Hedge Fund Model "
2019-01-30,‘Send Bitcoin’: Palestinian Islamist Group Hamas Begs for Crypto Donations Amid Crippling Sanct... 
2019-01-30,The bank of blockchain: Startup to print crypto banknotes for world first digital national currency 
2019-01-31,$950 Million Stolen from ‘Immature’ Cryptocurrency Exchanges & Wallets in 2018: Analytics ... 
2019-01-31,"Crypto Analyst: If Bitcoin (BTC) Runs, $4,300 Will Be ""Very Difficult"" To Break - Ethereum World "
2019-01-31,Bitcoin Bourse: Stuttgart Stock Exchange becomes first regulated market with cryptocurrency trading 
2019-02-01,"$190 Million in Crypto Gone Forever, How Canada’s Biggest Bitcoin Exchange Lost it All "
2019-02-01,I’m convinced that my divorcing husband is trying to hide his bitcoin assets: What can I do? 
2019-02-01,PayPal Co-Founder Admits Original Mission of PayPal Was Creating A ”Global Currency” Much Like Cryptocurrency 
2019-02-02,Here’s What Every Major 2020 US Presidential Candidate Has Said about Bitcoin 
2019-02-02,Jack Dorsey: Bitcoin-Friendly Cash App is Now 2nd Most Popular Apple Application 
2019-02-02,Exclusive: Why Ledger CEO Eric Larchevêque is Preparing for Crypto Nuclear Winter 
2019-02-03,Why South Korea Had to Ban Crypto ICOs and Risk Losing Multi-Billion Dollar Opportunities 
2019-02-03,Canadian crypto exchange reportedly loses $190 million of customers’ money after founder dies 
2019-02-03,‘Stay the Course’: Billionaire Bitcoin Bull Mike Novogratz Has Advice for the Bitter Crypto Winter 
2019-02-04,Cryptocurrency thief cops to million-dollar hacking scheme as Santa Clara County tech squad builds rep 
2019-02-04,"Kraken Acquires Crypto Derivatives Trading Platform and Index Provider, Crypto Facilities, in Nine-figure Deal "
2019-02-04,Hamas and the Popular Resistance Committees called on their supporters to donate money using the virtual currency Bitcoin 
2019-02-05,QuadrigaCX Founder Gerald Cotten Dies Leaving $190 Million Worth Of Cryptocurrency Locked In His Laptop 
2019-02-05,"This crypto exchange owes its customers millions, but only the founder has the password — and he's dead "
2019-02-05,Kraken Becomes First Crypto Exchange to Offer Both Spot and Futures Trading After Crypto Facilities Acquisition 
2019-02-06,Bitcoin Only: Square CEO Jack Dorsey Doesn’t Care for Other Cryptocurrencies on Popular ‘Cash&#... 
2019-02-06,Bitcoin's death problem: how billions of pounds worth of crypto assets are being lost when people die 
2019-02-06,"Canadian cryptocurrency exchange founder dies in Indian orphanage. Now, investors stand to lose $137 million "
2019-02-07,Almost Half of the Best Grossing American Fintech Companies are Cryptocurrency Related 
2019-02-07,Scores of sleuths are searching for Quadriga’s frozen crypto coins — if they even exist at all 
2019-02-07,"MT Gox Trustee Sold Bitcoins in Exchanges and Not OTC, Court Evidence Reveals - Ethereum World News "
2019-02-08,"Bet on bitcoin as an insurance policy against 'irresponsible' government, crypto bull says "
2019-02-08,"South Korea’s Top Crypto Exchange Just Launched a Major Product, But is There Real Demand From Instit... "
2019-02-08,Cover Story: Crypto Whisperer: Mark Yusko's ambitious journey into blockchain - Triangle Business Journal 
2019-02-09,Bitcoin Accepted as Payment for Transportation in 37 Argentinian Cities - Ethereum World News 
2019-02-09,Bitcoin Futures vs. Spot Trading: A New Report Reveals The Inverse Correlation During 2018 Bear Market 
2019-02-09,"Quadriga CEO, whose death ignited a cryptocurrency storm, a kind man with taste for fine things, say friends "
2019-02-10,Ethereum Price: Consolidating For The Next Leg Up? | Bitcoinist.com 
2019-02-10,"Rutgers professor raises doubts on ethics of bitcoin, cryptocurrency "
2019-02-10,"Top 5 Crypto Performers Overview: Litecoin, Binance Coin, EOS, Dash, Monero "
2019-02-11,"Bitcoin price crash: Cryptocurrency plunges 43% in just 3 months to $3,500; check latest price "
2019-02-11,Cryptocurrency Funds: Risk Or Opportunity For The Cayman Islands? - Technology - Cayman Islands 
2019-02-11,"NiceHash to Smaller Cryptocurrency Miners : If You Can’t Beat 51% Attackers Who Lease Our Hash Power,... "
2019-02-12,LocalBitcoins email scam tries to trick users into handing over thousands in cryptocurrency 
2019-02-12,'It just smells like something doesn’t make sense': Canadian crypto world questions CEO's death 
2019-02-12,"Mt. Gox Trustee May Have Crashed Bitcoin in 2018 by Dumping It on an Exchange, but There Is Still Hope "
2019-02-13,"Turkish Police Arrest 24 Suspects Involved in Hacking Crypto Firm, Local Media Reports "
2019-02-13,"Two Years In, Mongo Databases Still Being Ransomed for Bitcoin, Though Less Successfully "
2019-02-13,"Josh Riddett Shares Insider Knowledge on the World of Cryptocurrency, Blockchain and Mining "
2019-02-14,Bitcoin and Crypto Hedge Fund Founder Charts Dystopian Future Where Governments Control Digital Currencies 
2019-02-14,"Crypto VC Giant Calls Mass Exodus From Gold to Bitcoin, Plus Ripple and XRP, Ethereum, Stellar, Tron, IOTA:... "
2019-02-14,"CoinStats Launches Worlds First Fully Guaranteed, Mobile, Hardware-rooted Crypto Wallet to 500,000 Active Users "
2019-02-15,Crypto Finance Grows Up: Tagomi’s New Tools Could Draw Institutional Investors Into The Crypto Market 
2019-02-15,"Bitcoin Use Increased by 571% in the Past 5 Years and 13% of Online Buyers Have Used Cryptocurrencies, "
2019-02-15,"Crypto Markets Experience Mixed Trading Session, Analysts Expect Ethereum and Litecoin to Drop in Near-Future "
2019-02-16,Ordinary Stablecoin or XRP Killer? What We Know About JPMorgan Chase’s New Cryptocurrency 
2019-02-16,Digital Currency Group CEO Bullish About Bitcoin but Prophesies Doom for other Cryptocurrencies 
2019-02-16,"Breaking: Major Crypto Brokerage Coinmama Hacked, 450,000 Users Affected in Massive Worldwide Breach "
2019-02-17,The next Bitcoin? Crypto millionaires backing this controversial commodity 
2019-02-17,Why This Andreas Antonopoulos Talk Should Go Down as 2019’s ‘State of the Crypto Industry’... 
2019-02-17,$150 Million Scandal of Canada’s Biggest Crypto Exchange Sees New Twist in Dead CEO’s 2014 Interview 
2019-02-18,"Crypto Markets See Bullish Growth, Asian Stock Markets Rally Ahead of US-China Trade Talk "
2019-02-18,"Crypto Crime Trends Evolving as Users Wise Up: Exchange Hacks, Darknet and Money Laundering "
2019-02-18,"Short-Term Crypto Bear Calls For 'Melt Your Face Off"" Bitcoin (BTC) Rally - Ethereum World News "
2019-02-19,‘Our Cash Went to Something’: Customers Hunt for Bankrupt Crypto Exchange’s Missing Millions 
2019-02-19,Crypto Dividends: Staking Coins for Gains Potentially a Good Strategy in a Bear Market but Is Not Without Risk 
2019-02-19,"CipherTrace Raises $15M Venture Capital Investment for Cryptocurrency and Blockchain Security, Intelligence, and Regulatory Compliance "
2019-02-20,"Elon Musk Praises 'Brilliance' Of Bitcoin And Ethereum, But Clash With Tesla's Energy Stance - Benzinga "
2019-02-20,Quadriga dead or alive? Law firm named after many jockey to represent cryptocurrency clients short millions 
2019-02-20,"Ethereum Co-Founder Vitalik Buterin Reveals Non-Ethereum Cryptocurrency Holdings, Other Revenue Streams in Reddit AMA "
2019-02-21,Cathie Wood on The Block: The crypto revolution is coming - jump on or get out of the way 
2019-02-21,Akon Wants To Use Blockchain and His Cryptocurrency Akoin to Fuel a New Ecosystem in Africa 
2019-02-21,"Crypto Analyst Expects Multi-Year Bear Market, Current Bitcoin (BTC) Range Isn't Accumulation "
2019-02-22,Exit Scam? Mismanagement? Coinbase Digs Into Failed Crypto Exchange QuadrigaCX’s ‘$150 Million Loss... 
2019-02-22,"Binance Launches Crypto Price Alerts for Traders, Supports Zcash on Trust Wallet, Targets One Million With ... "
2019-02-22,"""Daredevil Investor"" James Passin Shares Inside Tips On Investing In Precious Metals & Cryptocurrencies Like Bitcoin "
2019-02-23,Bitcoin Mining: Bitmain reports a new 7nm ASIC chip with lower power consumption 
2019-02-23,Bitcoin Traders Beware: Group of Robbers Gruesomely Torture Netherlands-Based Crypto Trader 
2019-02-23,$320m CME trade just happened - the biggest ever. Bitcoin futures jump $500 - the bulls are back in town 
2019-02-24,Liechtenstein’s Bank Frick Launches Institutional Crypto Trading Platform 
2019-02-24,"Top 5 Crypto Performers Overview: EOS, Ethereum, Bitcoin Cash, Binance Coin, Stellar "
2019-02-24,The royal commission sparked anger at the big banks. Bitcoin's not the only alternative 
2019-02-25,"How can crypto reach mass adoption? 'Keep on building,' says Centbee CEO Angus Brown "
2019-02-25,Unconfirmed: Crypto Startup Enjin to Back Rumored Samsung Galaxy S10 Blockchain Wallet 
2019-02-25,"Samsung Galaxy S10 Reportedly Supporting BTC, LTC, ETH, and All ERC-20 Tokens via Enjin Crypto Wallet "
2019-02-26,Cryptojacking Rises 450 Percent as Cybercriminals Pivot From Ransomware to Stealthier Attacks 
2019-02-26,"Leading Crypto Exchange Increases Margin Trading Leverage for Bitcoin, Ethereum, Bitcoin Cash, Litecoin and... "
2019-02-26,LocalCoinSwap Launches World's First P2P Cryptocurrency Exchange That Gives 100% Profit To The Crypto Community 
2019-02-27,What crypto bear market? Investment funds have poured $1.6 billion into the industry since 2018 
2019-02-27,Aave Launches New Mobile App That Allows Users to Pay Bills With Cryptocurrency Through Bank Transfers 
2019-02-27,"Samsung Confirms Galaxy S10 Bitcoin and Ethereum Support, Announces Crypto Partners, Full ERC20 Support Rumored "
2019-02-28,"﻿Russian President Vladimir Putin Orders Cryptocurrency Regulation, Sets July 1 Deadline "
2019-02-28,"China’s 10th Crypto Rankings: EOS Still in First, TRON Joins and Beats Ethereum to Second "
2019-02-28,Bahraini Crypto Exchange Set to Get Licensed Following Successful Graduation from the Regulatory Sandbox 
2019-03-01,"The ‘existential threat’ cryptos pose to traditional payments systems ‘bears watching,’ says expert "
2019-03-01,"Now send money on WhatsApp using WhatsApp coins, Facebook working on a new cryptocurrency for messaging app "
2019-03-01,'It'll buff out': Millionaire Bitcoin investor crashes £290k 1of1 purple Lamborghini into ditch and blames 'standing water' 
2019-03-02,Indian Government Confirms Cryptocurrency Regulation in Final Stages 
2019-03-02,Exclusive: Minds CEO Challenges Twitter’s Jack Dorsey to Walk the Walk on Bitcoin 
2019-03-02,Coinbase Reportedly Freezes Crypto Entrepeneur’s Funds Over Regular Bitcoin Purchase 
2019-03-03,"Crypto Exchange Kraken Offers $100,000 for Information Pertaining to QuadrigaCX Funds "
2019-03-03,Ethereum Co-Founder Vitalik Buterin: ETH Is a Solution to Bitcoin’s Limited Functionality 
2019-03-03,"Crypto Exchange Coinbase Confronts #DeleteCoinbase Campaign, Admits Working With Companies That Compromise ... "
2019-03-04,Bitcoin Lightning Network Reaches 30K Channels and 7K Nodes with Support from Jack Dorsey 
2019-03-04,How Kenyan investors lost hundreds of millions of shillings to Brazil bitcoin pyramid scheme 
2019-03-04,Here’s what $100 invested in the IPOs of your favorite stocks — and early-days bitcoin — would look like today 
2019-03-05,"Traders Bet 1 BTC on Bitcoin Plunging to $1,500 Before Rising to $6,500: Is it Possible? "
2019-03-05,Utah Lawmakers Sponsor Bill to Exclude Cryptocurrency Transactions from Money Transmission Laws 
2019-03-05,Utah Lawmakers Sponsor Bill to Exclude Cryptocurrency Transactions from Money Transmission Laws 
2019-03-06,Cryptocurrency Exchange Huobi Adds XRP Support to its OTC Trading Platform 
2019-03-06,"While cryptocurrency prices plummeted in 2018, number of wallet users increased "
2019-03-06,"E-Commerce on Demand: Crypto-Based Site With 50,000 Products Offers Delivery in Two Hours "
2019-03-07,CipherTrace CEO Dave Jevans qualified as first-ever Bitcoin expert witness by Canadian Court 
2019-03-07,Experts unbundle crypto currencies and business opportunities arising from the underlying blockchain technology 
2019-03-07,BitMEX Beware: Digitex (DGTX) Surges 90% in 10 Days and Gives a Glance To The Anticipated Crypto Futures Exchange 
2019-03-08,CryptoCurrencyWire to Serve as Official Newswire for Bitcoin Ben's World's Largest Crypto Meetup 
2019-03-08,Anatomy of a Crypto Partnership: Tracking Enjin Coin’s Surge After Samsung Collaboration Confirmation 
2019-03-08,"1 of 3 Brick and Mortar Crypto Currency OTC (Over The Counter) Exchange Announces Grand Opening In Inglewood, CA "
2019-03-09,Twitter CEO Jack Dorsey Reveals His Latest Bitcoin Purchase to 4 Million Followers 
2019-03-09,CEO of Crypto City Project Bitcointopia Pleads Guilty to Selling Land He Didn’t Have 
2019-03-09,Crypto Mystery Takes a Darker Turn: Cold Wallets Left Behind by Deceased Bitcoin Exchange Owner Are Found Empty 
2019-03-10,Binance CEO CZ Hints at Creation of Fiat-to-Crypto Exchange in Argentina 
2019-03-10,How cryptocurrency assets are becoming a new battleground in divorce disputes 
2019-03-10,Bitcoin’s Lightning Network Growth Accelerates as Its Capacity Surpasses $3 Million 
2019-03-11,Adoption & usage: The only metrics that matter in the battle for cryptocurrency supremacy 
2019-03-11,Crypto Mining Outfit Bitfarms to Depreciate $19 Million as Founder Denounces Bitcoin | Ctech 
2019-03-11,Mudrex helps crypto traders automate their trading on multiple exchanges without writing code 
2019-03-12,Bitcoin and Crypto Business Boosts New Global Blockchain ETF Trading on London Stock Exchange 
2019-03-12,The most profitable Bitcoin Cloud Mining - 50% discount on all contracts ! - Ethereum World News 
2019-03-12,Textbook Case of Crypto Hype: How Iced Tea Company Went Blockchain and Failed Despite a 289 Percent Stock Rise 
2019-03-13,"Bcause, the World's First Full-Stack Cryptocurrency Ecosystem, to Launch on Nasdaq Market Technology "
2019-03-13,Weathering the crypto winter: Liven raises $14 million and opens sale to the public (but don't call it an ICO) 
2019-03-13,World’s 1st Crypto-based Live Property Auction [Accepting BTC and BNB] Finds an Admirer in Chengpeng “CZ Binance” Zhao 
2019-03-14,"Canadian regulators propose new rules to govern cryptocurrency exchanges, protect users "
2019-03-14,TRON’s Founder Justin Sun: Bitcoin is an Excellent Investment Opportunity for The Younger Generations 
2019-03-14,"Singapore's first bitcoin trial: Exchange operator found in breach of contract and trust, to pay damages "
2019-03-15,As Cryptocurrencies Continue To Be Legitimized How Open And Available To Taxation Are They? 
2019-03-15,"North Korea Has over $670 Million in Bitcoin and Other Cryptocurrencies, Claims New UN Report "
2019-03-15,"Tripling in value of Binance Coin, the cryptocurrency of the hour, echoes bitcoin's glory days "
2019-03-16,Trading 212 Review: Not the Best Way to Invest in Bitcoin or Cryptocurrency 
2019-03-16,Bitcoin Price Analysis: Why BTC Bulls Are Charging at $4000 | Bitcoinist.com 
2019-03-16,"Coinbase Rival ErisX Says Crypto Trading Platform for Bitcoin, Ethereum, Litecoin and Bitcoin Cash Is Imminent "
2019-03-17,Bitcoin’s Price and Network Activity: One is Outpacing the Other 
2019-03-17,Crypto Exchange Launch Shows Riot Blockchain Still Clings to the Bitcoin Dream 
2019-03-17,Bitcoin's Disruptive Power Not Lost on UAE Banks Federation and Abu Dhabi Global Market | Bitcoinist.com 
2019-03-18,"Roberts/Marie Open First Brick & Mortar Crytocurrency Exchange (Crypto Blockchain Plug) in Inglewood, CA "
2019-03-18,Coinbase Adds Stellar Lumens (XLM) to Its Growing List of Supported Cryptocurrencies for Retail Investors 
2019-03-18,"SEC and FINRA Regulations on Blockchain and Cryptocurrencies Are “Right on Point,” Says David Drake of LDJ Capital "
2019-03-19,Cryptocurrencies accepted by Switzerland's biggest online retailer - SWI swissinfo.ch 
2019-03-19,A criminal past haunts surviving founder of troubled cryptocurrency exchange Quadriga 
2019-03-19,Cryptocurrency and government regulation in Nigeria | The Guardian Nigeria News - Nigeria and World News — Features — The Guardian Nigeria News 
2019-03-20,Theranos Documentary Introduces World to Tim Draper's Bitcoin Tie | Bitcoinist.com 
2019-03-20,Bakkt's Parent Intercontinental Exchange Lists 58 New Crypto Tokens to Its Data Feed 
2019-03-20,Most Respondents File Negative Comments for SEC's Review of VanEck/SolidX Bitcoin ETF 
2019-03-21,Twitter CEO Jack Dorsey Has an Incredible Job Offer for Bitcoin Enthusiasts 
2019-03-21,BitDeer.com to Host Crypto Mining Industry Dialogue 2019 in Beijing - Ethereum World News 
2019-03-21,"BuySellHodl: Next-gen crypto price prediction, ratings app made for beginners and experts alike "
2019-03-22,"BitMEX CEO Arthur Hayes Says Bitcoin Will Test $10,000 in 2019 By Cointelegraph "
2019-03-22,Tina Jones considering prosecution's plea offer in bitcoin murder-for-hire case 
2019-03-22,Cryptocurrency Comes to Inglewood With Owners of ‘Crypto Blockchain Plug’ Najah Roberts and Jaci Marie 
2019-03-23,"China’s 11th Crypto Rankings: EOS First, TRON Second, Ethereum Third, Bitcoin Fifteenth "
2019-03-23,Bitcoin and the Agora: Every Transaction Outside the Nexus of State Control Is a Victory 
2019-03-23,Bitcoin Rabbi: Following Jewish Law Similar to Running a Full Node (Interview) | Bitcoinist.com 
2019-03-24,BIS Chief Doesn't Want Central Banks To Issue Cryptocurrency | Bitcoinist.com 
2019-03-24,"Former CFO Dropped From Lawsuit Against Crypto Company Stox, Moshe Hogeg | Ctech "
2019-03-24,Bitcoin Price Analysis March.24: Do or Die For Bitcoin As The Coin Struggles To Stay On-top The Ascending Line 
2019-03-25,TrueDigital Expands Distribution of Its Bitcoin and Ether OTC Reference Rates 
2019-03-25,Vitalik Buterin: Crypto Must Leave Behind the Individualism of the Early Cypherpunks 
2019-03-25,Report: US Cryptocurrency Exchanges Account for Over a Quarter of Global Bitcoin Trade 
2019-03-26,Financial Supervisory Authority of Finland to Supervise Cryptocurrency Exchange LocalBitcoins 
2019-03-26,Annual Outlook for Cryptocurrency Industry Reveals Cryptos Most Likely to Succeed in Coming Year 
2019-03-26,"A look inside crypto firm Galaxy Digital, founded by ‘sidelined’ Wall Street legend Mike Novogratz "
2019-03-27,Bitcoin Price Regains $4K But Bears Call It Low Volume 'Short Squeeze' | Bitcoinist.com 
2019-03-27,A crypto manager lays out the market improvements to the currency and says 2019 will be a year to watch 
2019-03-27,"BUSINESS MAVERICK OP-ED: Up. Down. Is there any remaining case for diversification into crypto assets? Surprisingly, there may be "
2019-03-28,How a lack of regulatory clarity puts U.S. cryptocurrency startups at a disadvantage 
2019-03-28,"Ledger, Trust Company Legacy Trust to Offer Crypto Custody for Institutional Investors "
2019-03-28,"Coinsbit: the first cryptocurrency exchange in the world, integrated with the 200000 POS terminals "
2019-03-29,Canada: Ontario Town Approves Pilot Program for Paying Property Taxes With Bitcoin 
2019-03-29,Cardano ADA Founder Charles Hoskinson Says Cryptocurrency Needs Interoperability - Ethereum World News 
2019-03-29,Lightning Network Keeps Growing. Malta-Based Crypto Exchange Now Allows LN Payments For All Its Users - 
2019-03-30,"Top 5 Crypto Performers Overview: Tezos, Cardano, EOS, Binance Coin, Neo "
2019-03-30,Was Bithumb Hacked For Millions Worth Of Crypto? EOS Blockchain Suggests So 
2019-03-30,SEC Crypto Mom: ‘Dismissive’ U.S. Regulators Miss the Point of Cryptocurrency 
2019-03-31,"Crypto promoter unmasked, accused of fraud in luring investors via YouTube "
2019-03-31,Japan’s Biggest Railway Company Is Looking to Accept Cryptocurrency Payments 
